Pixels,Classification
"[195.04333378543333, 115.44561236945613, 161.64485284144854]",Pink
"[115.37379628373796, 203.95449613454497, 199.83670147836702]",Not Pink
"[212.95144445951445, 89.61467516614675, 152.55235318052354]",Pink
"[159.10599484605996, 200.67977756679778, 195.98575884985758]",Not Pink
"[168.2886206428862, 199.54706361047064, 193.3594873185949]",Not Pink
"[175.79696188796962, 208.0920927709209, 206.08429404584294]",Not Pink
"[232.9152312491523, 61.867896378678964, 134.04706361047064]",Pink
"[219.72148379221483, 85.09019395090193, 143.87854333378544]",Pink
"[222.19930828699307, 81.93367692933677, 144.62769564627695]",Pink
"[178.5920927709209, 203.95293638952936, 198.69449342194494]",Not Pink
"[194.96799131967992, 205.40716126407162, 198.9652787196528]",Not Pink
"[231.81167774311677, 60.21741489217415, 140.99898277498983]",Pink
"[221.4627695646277, 90.18120168181201, 152.21578733215787]",Pink
"[192.69130611691307, 182.40051539400514, 187.8895293638953]",Not Pink
"[195.19795198697952, 181.5325512003255, 187.1722501017225]",Not Pink
"[226.15414349654142, 73.3879696188797, 140.41563813915639]",Pink
"[175.8333785433338, 211.04489353044895, 202.82022243320222]",Not Pink
"[215.66892716668926, 108.73280889732808, 156.10002712600027]",Pink
"[227.27831276278312, 72.68181201681811, 146.866201003662]",Pink
"[187.5009494100095, 206.0496405804964, 203.55411637054115]",Not Pink
"[229.0680184456802, 67.2631900176319, 138.28828156788282]",Pink
"[161.6723179167232, 169.74691441746916, 148.9978299199783]",Not Pink
"[225.0443510104435, 62.45632713956327, 168.38186626881867]",Pink
"[206.38023870880238, 98.99884714498847, 160.5347890953479]",Pink
"[149.3929201139292, 170.24345585243455, 164.9401193544012]",Not Pink
"[158.0586599755866, 167.02380306523804, 164.25769700257698]",Not Pink
"[225.147701071477, 68.08456530584566, 162.80645598806456]",Pink
"[156.4460192594602, 196.58612505086126, 200.74148921741488]",Not Pink
"[219.38125593381255, 85.30808354808083, 145.44466295944662]",Pink
"[159.0549301505493, 197.6570595415706, 195.41285772412857]",Not Pink
"[219.85114607351147, 79.99993218499932, 148.53553506035536]",Pink
"[151.98060490980606, 199.83005560830057, 196.87698358876983]",Not Pink
"[167.50983317509832, 192.74189610741897, 190.9500881595009]",Not Pink
"[219.4152312491523, 84.70853112708531, 146.54041774040417]",Pink
"[217.44961345449613, 86.16804557168045, 146.17245354672454]",Pink
"[134.08687101586872, 202.57561372575614, 213.00196663501967]",Not Pink
"[190.5714091957141, 203.21205750712056, 210.76854740268547]",Not Pink
"[217.08144581581445, 86.65339753153397, 146.26807269768074]",Pink
"[211.58958361589583, 94.44445951444459, 146.21171843211718]",Pink
"[221.19076359690763, 79.84117726841177, 142.78299199782992]",Pink
"[220.69598535195985, 80.40478773904788, 144.02244676522446]",Pink
"[181.6982910619829, 204.74338803743387, 198.68737284687373]",Not Pink
"[163.82232469822324, 167.53682354536824, 143.75098331750982]",Not Pink
"[218.2625118676251, 75.52197206021972, 168.29601247796012]",Pink
"[208.0205479452055, 95.69815543198155, 165.5363488403635]",Pink
"[207.67048691170487, 95.3950901939509, 165.17021565170216]",Pink
"[207.59582259595823, 95.52088702020887, 165.0862606808626]",Pink
"[199.8029296080293, 93.79601247796012, 160.2796690627967]",Pink
"[149.4096704190967, 170.942899769429, 170.65041367150414]",Not Pink
"[219.08436186084361, 80.52176861521768, 161.12552556625525]",Pink
"[215.89705682897056, 87.18737284687373, 161.64261494642614]",Pink
"[215.77790587277906, 89.36613318866134, 162.65943306659432]",Pink
"[184.186898141869, 170.62891631628915, 177.04699579546997]",Not Pink
"[190.91740132917403, 204.29852163298523, 198.4416790994168]",Not Pink
"[228.10762240607622, 69.24094669740947, 139.35175640851756]",Pink
"[224.21009087210092, 72.0366201003662, 142.54916587549167]",Pink
"[216.767801437678, 92.72039875220399, 145.18364302183642]",Pink
"[149.1896107418961, 199.5856503458565, 198.108300556083]",Not Pink
"[207.97660382476604, 144.48426691984267, 182.4348297843483]",Not Pink
"[247.38375804793594, 134.3304658334686, 181.9511983985284]",Pink
"[20.481685873505384, 44.34572309689985, 36.010387924038305]",Not Pink
"[35.03846778120435, 39.87042146837634, 35.80041118865985]",Not Pink
"[34.70800194773576, 39.83747227181735, 34.837255856733215]",Not Pink
"[150.53119082400045, 59.51928799437321, 106.41248715035438]",Not Pink
"[32.21387220689282, 41.712600768273546, 37.00654655629497]",Not Pink
"[249.35064654006385, 89.31742682464967, 177.81242222582915]",Pink
"[249.78829194394848, 121.13947952172266, 181.70280798571662]",Pink
